solution,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,position_error_m,rotation_error_rad,scaled_jacobian_sigma_min
1,-152.875322241338,-161.075342157582,110.467147446165,86.478317957055,100.886581035985,-98.040327112399,1.77722398948333652e-16,8.66000646849867929e-16,5.95677517782654889e-2
2,-152.286308127500,-161.089759532014,141.470376655159,-87.012798518930,-101.620401782232,113.597581966359,1.80411241501587938e-16,4.65475153733863660e-16,9.79836271910907025e-2
3,-146.542282577024,-56.947869389481,38.517286465123,92.226412445438,72.600122968548,85.666872307752,3.15242740012171207e-16,9.00774270042357750e-16,6.56334845781750276e-2
4,-127.249785957729,-56.023245840592,69.008923326322,-109.651468064451,-58.478130846773,-59.497475717645,2.18987797868379344e-16,6.03165123738722827e-16,1.32279377560458669e-2
5,-91.037360088183,-50.128773910040,65.853583320378,-140.303975520408,-27.769036146007,-44.019219429207,2.67665077907457275e-16,1.17076229074069335e-15,1.35952109369837804e-2
6,-73.482072493996,-45.302024816867,48.822820318304,151.506145435159,-0.427805791114,19.587549033691,1.88247472696780553e-16,6.53436047881236996e-16,2.88603370806600375e-2
7,-72.796087487137,-144.323899233801,131.084855563377,-151.826747173691,178.117651386569,19.209891082763,7.15749512893305965e-16,1.71394893277887689e-15,3.31292478986200470e-2
8,-66.479146704718,-142.075263759539,116.601334532751,154.157685113306,-163.308980824976,-34.253728926765,4.22760332622557558e-16,1.12846128831645818e-15,2.97523463488062849e-2
9,27.124677758662,-18.924657842418,69.532852553835,-93.521682042945,100.886581035985,-98.040327112399,3.62951247684984464e-16,6.94444280035888752e-16,5.95677517782650309e-2
10,27.713691872500,-18.910240467986,38.529623344841,92.987201481070,-101.620401782232,113.597581966359,1.01031820261006628e-16,3.75726848819171287e-16,9.79836271910905082e-2
11,33.457717422976,-123.052130610519,141.482713534877,-87.773587554562,72.600122968548,85.666872307752,3.22789110707516702e-16,3.41348446071500054e-16,6.56334845781748749e-2
12,52.750214042271,-123.976754159408,110.991076673678,70.348531935549,-58.478130846773,-59.497475717645,3.40218150100303834e-16,1.05187772723376305e-15,1.32279377560503668e-2
13,88.962639911817,-129.871226089960,114.146416679622,39.696024479592,-27.769036146007,-44.019219429207,2.64771316376406944e-16,8.40952718991378807e-16,1.35952109369772527e-2
14,106.517927506004,-134.697975183133,131.177179681696,-28.493854564841,-0.427805791114,19.587549033691,1.68830575361606487e-16,9.37649731836346910e-16,2.88603370806586809e-2
15,107.203912512863,-35.676100766199,48.915144436623,28.173252826309,178.117651386569,19.209891082763,5.16283550293047263e-16,1.25115780731206927e-15,3.31292478986196307e-2
16,113.520853295282,-37.924736240461,63.398665467249,-25.842314886694,-163.308980824976,-34.253728926765,3.56526824137479974e-16,9.55453187570981894e-16,2.97523463488073674e-2
